References	Qty	Description	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
U5	1	Arduino Mini	Arduino	A000087									1050-1046-ND	782A000087	7617327		
U4	1	L298N Multiwatt 15 Vertical	STMicroelectronics	L298N									497-1395-5-ND	511L298	636384	32M1527	403295
U1, U2	2	LM2596 5v	ITO-220	Texas Instruments	Texas Instruments	LM2596T-5.0/NOPB							LM2596T-5.0/NOPB-ND	LM2596T5.0/NOPBND	926LM2596T5.0/NOPB	5333743P	97K3256
R7, R8, R9	3	Resistor 220  ohm 250mW through-hole	Yageo	MFR-25FBF52-220R	TE Connectivity	CBT25J220R	TE Connectivity	CFR16J220R	Ohmite	OD221JE	Stackpole Electronics	CF14JT220R	CF14JT220R	CF14JT220RCTND	279CBT25J220R	8066376P	21R0186
R2, R4, R5, R3	4	Resistor 270 ohm 250mW through-hole	Stackpole Electronics	CF14JT270R	Yageo	MFR-25FBF52-220R	TE Connectivity	CFR16J270R	Ohmite	OD271JE	TE Connectivity	LR1F270R	CF14JT270RCT-ND	603MFR25FBF52220R	148360P	95W5736	2329504
R1	1	Resistor 20W TO-220	Bourns	PWR220T-20-R500F									PWR220T-20-R500F-ND	652PWR220T20R500F	7962508	55R1098	2328267
Q1, Q2, Q3, Q4, Q1	4	2N2219 1A NPN	ON Semiconductor	BC63916_D27Z									BC63916-D27ZCT-ND	512BC63916_D27Z	8031150		2453811RL
P9, P10	1	Connector 4 position JST S4B-EH	JST	S4B-EH(LF)(SN)									455-1627-ND				1830721
P4, P7, P8	3	Connector 3 position JST S3B-EH	JST	S3B-EH(LF)(SN)									455-1626-ND			49Y7627	2481438
P1, P3, P5, P6	4	Connector 2 position JST S2B-EH	JST	S2B-EH(LF)(SN)									455-1625-ND			49Y7626	2481437
L1, L2	2	INDUCTOR 33µH Neosid Inductor MA-Bs75	Bourns	RLB0914-330KL									RLB0914-330KL-ND	652RLB0914330KL	8118853		2309242
J12	1	USB A Vertical	FCI	73725-0110BLF	Molex	48204-0001							609-1041-ND	649737250110BLF	7710048	56R0832	2782046
D1, D3	2	Diode Schottky 5A DO-201AD	Vishay	1N5822-E3/73									1N5822-E3/73GICT-ND	6251N5822E3/73		17T8202	1336553
CON1	1	2.1mm socket	Cliff	FC68148 DC10A	Lumberg	NEB 21 R	Cliff	FC68148	Gravitech	CON-SOCJ-2155	Parallax	452-00007	452-00007-ND	992CONSOCJ2155	5051609	08WX2563	224959
C6, C5	2	220µF Capacitor 6.3mm	Multicomp	MCGPR16V227M6.3X11	Panasonic	ECA-1CM221B	Panasonic	ECE-A0GKS221	Panasonic	EEU-EB1A221S			P954-ND	667ECA1CM221B	7472036	70K9673	9451099
C2, C1	2	680µF Capacitor	Rubycon	16ZL680MEFC10X16	Panasonic	EEU-FC1A681							1189-3978-ND	667EEUFC1A681	7037258	31M6417	1144691
C10, C7, C8	3	100nF Capacitor Disc	Multicomp	MCFYU6104Z6	KEMET	C052C104K5R5CA	KEMET	C052K104K5X5CA	KEMET	C052T104K5X5CS	KEMET	C321C104K5R5HA	399-9784-ND	80CK05BX104K		08B3280	8006076
1k1	1	Resistor 1k 250mW through-hole	Multicomp	MF12 1K	Yageo	MFR-25FBF52-1K	RS Pro	7077666					1.00KXBK-ND	603MFR25FBF521K	7077666	38K5400	9342400
